package_order	package_line	tier	paper_section_label	paper_section_title	namespace	package_name	package_paper_name	paper_role	component_order	component_kind	component_name	component_line	component_signature
1	293	Core endpoint and K5 primitives	subsec:edge-references	Edge references and non-loop edges	Erdos887Formal	Erdos887Formal.K5EdgeRef	K5 edge reference	typed reference to a concrete K5 edge	0	PACKAGE	K5EdgeRef	293	structure K5EdgeRef (i j : EndpointVertex) where
1	293	Core endpoint and K5 primitives	subsec:edge-references	Edge references and non-loop edges	Erdos887Formal	Erdos887Formal.K5EdgeRef	K5 edge reference	typed reference to a concrete K5 edge	1	field	edge	294	edge : EndpointEdge
1	293	Core endpoint and K5 primitives	subsec:edge-references	Edge references and non-loop edges	Erdos887Formal	Erdos887Formal.K5EdgeRef	K5 edge reference	typed reference to a concrete K5 edge	2	field	distinct	295	distinct : i = j -> False
1	293	Core endpoint and K5 primitives	subsec:edge-references	Edge references and non-loop edges	Erdos887Formal	Erdos887Formal.K5EdgeRef	K5 edge reference	typed reference to a concrete K5 edge	3	field	joins	296	joins : EndpointEdgeJoins edge i j
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	0	PACKAGE	K5PairProductFrame	577	structure K5PairProductFrame where
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	1	field	i	578	i : EndpointVertex
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	2	field	j	579	j : EndpointVertex
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	3	field	k	580	k : EndpointVertex
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	4	field	a	581	a : EndpointVertex
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	5	field	b	582	b : EndpointVertex
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	6	field	all_vertices	583	all_vertices : List.Nodup [i, j, k, a, b]
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	7	field	ia	584	ia : K5EdgeRef i a
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	8	field	ib	585	ib : K5EdgeRef i b
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	9	field	ja	586	ja : K5EdgeRef j a
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	10	field	jb	587	jb : K5EdgeRef j b
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	11	field	Lifecycle	594	Lifecycle: local scaffolding
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	12	field	Status	595	Status: theorem-source surface
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	13	field	Inputs	596	Inputs: see declaration type and surrounding construction layer
2	577	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5PairProductFrame	K5 pair-product frame	frame for pair-product comparisons	14	field	Output	597	Output: see declaration codomain
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	0	PACKAGE	K5IncidentFrame	601	structure K5IncidentFrame where
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	1	field	i	602	i : EndpointVertex
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	2	field	j	603	j : EndpointVertex
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	3	field	r	604	r : EndpointVertex
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	4	field	s	605	s : EndpointVertex
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	5	field	t	606	t : EndpointVertex
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	6	field	all_vertices	607	all_vertices : List.Nodup [i, j, r, s, t]
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	7	field	ir	608	ir : K5EdgeRef i r
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	8	field	is	609	is : K5EdgeRef i s
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	9	field	it	610	it : K5EdgeRef i t
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	10	field	jr	611	jr : K5EdgeRef j r
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	11	field	js	612	js : K5EdgeRef j s
